s_adminid,s_ftype,,s_fstatus,s_admincode,in_dataset_tag,in_timespan,in_xvar,in_yvar,in_sampres,in_quantile,in_station_agg,in_glo,in_ghi,containing_hydrocode,out_p,out_n,out_rsq,out_rsq_adj,out_m,out_b,out_breakpoint,isheadwater,huc8,IFIM study HUC8,River name or region,IFIM site name(s),Drainage area mi2,MAF,s_name
399248,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070005,0.0028,29,0.2856,0.2591,0.294,1.2973,530,1,2070005,2070005,SF IFIM,Lynnwood,1147.3,1247.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399227,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_03010102,0,12,0.821,0.8031,0.8027,0.2742,530,0,3010102,3010102,Kerr Reservoir near clarksville,Head Kerr Reservoir,3245.1,3570.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399227,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_03010102,0,12,0.821,0.8031,0.8027,0.2742,530,0,3010102,3010102,Kerr Reservoir near clarksville,Staunton,2975,3262.9,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399230,fe_quantreg,,active,74534_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_05050001,0,20,0.6176,0.5964,0.6411,1.5229,530,1,5050001,5050001,New River,new river  claytor lake to Pembroke,2839.7,4215.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399252,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080106,0.0242,15,0.3335,0.2823,0.2537,2.6513,530,1,2080106,2080106,Pamunkey,Pamunkey Coastal Plain,1078.7,1122.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399252,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080106,0.0242,15,0.3335,0.2823,0.2537,2.6513,530,1,2080106,2080106,North Anna,NA Fall Zone,435.5,400.8,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399252,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080106,0.0242,15,0.3335,0.2823,0.2537,2.6513,530,1,2080106,2080106,North Anna,NA Coastal plain,462.1,392.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399252,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080106,0.0242,15,0.3335,0.2823,0.2537,2.6513,530,1,2080106,2080106,North Anna,North Anna Piedmont,411.1,374.2,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399232,fe_quantreg,,active,74535_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_05050002,0.0036,23,0.3376,0.306,0.4568,1.6157,530,0,5050002,5050002,New River,New River near Pembroke to Glen Lyn,3725.7,5246.8,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399254,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080207,0.019,15,0.3553,0.3057,0.419,2.5829,530,1,2080207,2080207,Appomattox,Below Harvell Dam,1359.9,1406.6,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399254,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080207,0.019,15,0.3553,0.3057,0.419,2.5829,530,1,2080207,2080207,Appomattox,above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
402595,fe_quantreg,,active,74534_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_05050001,0.000001,19,0.7632,0.7492,0.6036,1.2818,530,1,5050001,5050001,New River,new river  claytor lake to Pembroke,2839.7,4215.7,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402597,fe_quantreg,,active,74535_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_05050002,0.000005,23,0.6381,0.6208,0.5679,0.181,530,0,5050002,5050002,New River,New River near Pembroke to Glen Lyn,3725.7,5246.8,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402592,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_03010102,0,13,0.9471,0.9423,0.981,0.6654,530,0,3010102,3010102,Kerr Reservoir near clarksville,Head Kerr Reservoir,3245.1,3570.7,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402592,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_03010102,0,13,0.9471,0.9423,0.981,0.6654,530,0,3010102,3010102,Kerr Reservoir near clarksville,Staunton,2975,3262.9,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402616,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080106,0,44,0.6921,0.6847,0.3606,1.4827,530,1,2080106,2080106,Pamunkey,Pamunkey Coastal Plain,1078.7,1122.3,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402616,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080106,0,44,0.6921,0.6847,0.3606,1.4827,530,1,2080106,2080106,North Anna,NA Fall Zone,435.5,400.8,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402616,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080106,0,44,0.6921,0.6847,0.3606,1.4827,530,1,2080106,2080106,North Anna,NA Coastal plain,462.1,392.3,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402616,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080106,0,44,0.6921,0.6847,0.3606,1.4827,530,1,2080106,2080106,North Anna,North Anna Piedmont,411.1,374.2,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402637,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080201,0.0007,57,0.1899,0.1752,0.1905,2.3483,530,1,2080201,2080201,upper james,Maury,668.4,768.1,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402637,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080201,0.0007,57,0.1899,0.1752,0.1905,2.3483,530,1,2080201,2080201,upper james,Craig,312.9,410.8,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402637,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080201,0.0007,57,0.1899,0.1752,0.1905,2.3483,530,1,2080201,2080201,upper james,Dunlap,164.5,193.3,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402618,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080207,0.000002,30,0.5625,0.5469,0.5777,2.3013,530,1,2080207,2080207,Appomattox,Below Harvell Dam,1359.9,1406.6,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402618,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02080207,0.000002,30,0.5625,0.5469,0.5777,2.3013,530,1,2080207,2080207,Appomattox,above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402629,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02070008,0.000002,41,0.4476,0.4335,0.2883,2.0016,530,1,2070008,2070008,Middle Potomac,T11&12,11532.8,12816.6,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
402629,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_darter,species,0.8,max,0,530,nhd_huc8_02070008,0.000002,41,0.4476,0.4335,0.2883,2.0016,530,1,2070008,2070008,Middle Potomac, T8&9,11515.8,12744.3,Quantile Regression_ aqbio_nt_darter = f( erom_q0001e_apr )_ upper 80%
407648,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080201,0.0073,33,0.2102,0.1847,0.1837,3.4247,530,1,2080201,2080201,upper james,Maury,668.4,768.1,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407648,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080201,0.0073,33,0.2102,0.1847,0.1837,3.4247,530,1,2080201,2080201,upper james,Craig,312.9,410.8,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407648,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080201,0.0073,33,0.2102,0.1847,0.1837,3.4247,530,1,2080201,2080201,upper james,Dunlap,164.5,193.3,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407652,fe_quantreg,,active,74534_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_05050001,0.5399,22,0.0191,-0.03,0.0823,4.5316,530,1,5050001,5050001,New River,new river  claytor lake to Pembroke,2839.7,4215.7,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407653,fe_quantreg,,active,74535_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_05050002,0.3105,14,0.0855,0.0093,-0.2558,5.7345,530,0,5050002,5050002,New River,New River near Pembroke to Glen Lyn,3725.7,5246.8,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407662,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070006,0.0017,10,0.7261,0.6919,0.9037,1.5989,530,1,2070006,2070006,NF IFIM,Rt 648,743.1,674.1,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407662,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070006,0.0017,10,0.7261,0.6919,0.9037,1.5989,530,1,2070006,2070006,NF IFIM,Spring Hollow,695.1,630.7,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407662,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070006,0.0017,10,0.7261,0.6919,0.9037,1.5989,530,1,2070006,2070006,NF IFIM,Laurel Hill,654.1,591.9,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407662,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070006,0.0017,10,0.7261,0.6919,0.9037,1.5989,530,1,2070006,2070006,NF IFIM,Plains Mill,331.6,315,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407671,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070005,0.0059,25,0.2861,0.2551,0.3444,4.3108,530,1,2070005,2070005,SF IFIM,Front Royal,1548.7,1712.7,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407671,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070005,0.0059,25,0.2861,0.2551,0.3444,4.3108,530,1,2070005,2070005,SF IFIM,Luray,1332.5,1483,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407671,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070005,0.0059,25,0.2861,0.2551,0.3444,4.3108,530,1,2070005,2070005,SF IFIM,Lynnwood,1147.3,1247.3,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407675,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080106,0.5822,84,0.0037,-0.0084,0.0242,5.4628,530,1,2080106,2080106,Pamunkey,Pamunkey Coastal Plain,1078.7,1122.3,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407675,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080106,0.5822,84,0.0037,-0.0084,0.0242,5.4628,530,1,2080106,2080106,North Anna,NA Fall Zone,435.5,400.8,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407675,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080106,0.5822,84,0.0037,-0.0084,0.0242,5.4628,530,1,2080106,2080106,North Anna,NA Coastal plain,462.1,392.3,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407675,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080106,0.5822,84,0.0037,-0.0084,0.0242,5.4628,530,1,2080106,2080106,North Anna,North Anna Piedmont,411.1,374.2,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407677,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080207,0.0009,38,0.2665,0.2461,0.4317,4.8506,530,1,2080207,2080207,Appomattox,Below Harvell Dam,1359.9,1406.6,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407677,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02080207,0.0009,38,0.2665,0.2461,0.4317,4.8506,530,1,2080207,2080207,Appomattox,above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407683,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070008,0,42,0.5579,0.5469,0.6691,3.6615,530,1,2070008,2070008,Middle Potomac,T11&12,11532.8,12816.6,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407683,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_02070008,0,42,0.5579,0.5469,0.6691,3.6615,530,1,2070008,2070008,Middle Potomac, T8&9,11515.8,12744.3,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407695,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_03010102,0.0968,14,0.2129,0.1473,-0.426,7.48,530,0,3010102,3010102,Kerr Reservoir near clarksville,Head Kerr Reservoir,3245.1,3570.7,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
407695,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_cent,species,0.8,max,0,530,nhd_huc8_03010102,0.0968,14,0.2129,0.1473,-0.426,7.48,530,0,3010102,3010102,Kerr Reservoir near clarksville,Staunton,2975,3262.9,Quantile Regression_ aqbio_nt_cent = f( erom_q0001e_apr )_ upper 80%
380178,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_03010102,0.000009,17,0.741,0.7237,3.4506,9.7937,530,0,3010102,3010102,Kerr Reservoir near clarksville,Head Kerr Reservoir,3245.1,3570.7,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380178,fe_quantreg,,active,74532_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_03010102,0.000009,17,0.741,0.7237,3.4506,9.7937,530,0,3010102,3010102,Kerr Reservoir near clarksville,Staunton,2975,3262.9,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380182,fe_quantreg,,active,74534_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_05050001,0,31,0.6804,0.6693,2.3795,11.1372,530,1,5050001,5050001,New River,new river  claytor lake to Pembroke,2839.7,4215.7,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380184,fe_quantreg,,active,74535_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_05050002,0.0002,34,0.3473,0.3269,1.941,8.5651,530,0,5050002,5050002,New River,New River near Pembroke to Glen Lyn,3725.7,5246.8,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380195,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070006,0.0009,12,0.6846,0.653,3.4564,5.5387,530,1,2070006,2070006,NF IFIM,Rt 648,743.1,674.1,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380195,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070006,0.0009,12,0.6846,0.653,3.4564,5.5387,530,1,2070006,2070006,NF IFIM,Spring Hollow,695.1,630.7,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380195,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070006,0.0009,12,0.6846,0.653,3.4564,5.5387,530,1,2070006,2070006,NF IFIM,Laurel Hill,654.1,591.9,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380195,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070006,0.0009,12,0.6846,0.653,3.4564,5.5387,530,1,2070006,2070006,NF IFIM,Plains Mill,331.6,315,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380210,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070005,0,34,0.4524,0.4353,1.8329,10.4091,530,1,2070005,2070005,SF IFIM,Front Royal,1548.7,1712.7,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380210,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070005,0,34,0.4524,0.4353,1.8329,10.4091,530,1,2070005,2070005,SF IFIM,Luray,1332.5,1483,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380210,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02070005,0,34,0.4524,0.4353,1.8329,10.4091,530,1,2070005,2070005,SF IFIM,Lynnwood,1147.3,1247.3,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380216,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080106,0,97,0.3134,0.3062,1.1691,12.0403,530,1,2080106,2080106,Pamunkey,Pamunkey Coastal Plain,1078.7,1122.3,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380216,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080106,0,97,0.3134,0.3062,1.1691,12.0403,530,1,2080106,2080106,North Anna,NA Fall Zone,435.5,400.8,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380216,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080106,0,97,0.3134,0.3062,1.1691,12.0403,530,1,2080106,2080106,North Anna,NA Coastal plain,462.1,392.3,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380216,fe_quantreg,,active,74550_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080106,0,97,0.3134,0.3062,1.1691,12.0403,530,1,2080106,2080106,North Anna,North Anna Piedmont,411.1,374.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Below Harvell Dam,1359.9,1406.6,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%
